"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"143",1000,500,50,0.4,1,0.337,0.882,39.9889,44.7023,50.1462,0.340635,0.372275,0.404154,1.00265646584017,1.00022823428715,15000,5000,20,500
"144",1000,500,50,0.4,1,0.369,0.897,42.2311,47.52335,52.7577,0.378859,0.409908,0.443173,1.00093978327566,0.999992669084074,15000,5000,20,500
"145",1000,500,50,0.4,1,0.385,0.907,50.8638,57.1592,64.041,0.398646,0.4321125,0.465623,1.00086153955135,1.00067448876308,15000,5000,20,500
"146",1000,500,50,0.4,1,0.381,0.909,43.5384,49.04135,54.3098,0.389857,0.4209285,0.454677,1.00290269346948,1.00104239799745,15000,5000,20,500
"147",1000,500,50,0.4,1,0.373,0.9,40.7252,45.9352,50.9683,0.379882,0.4099055,0.445752,0.999882749858947,0.999982553686559,15000,5000,20,500
"148",1000,500,50,0.4,1,0.371,0.902,46.7458,53.1155,59.4413,0.384786,0.4147205,0.450026,1.00024324640983,0.999818499704441,15000,5000,20,500
"149",1000,500,50,0.4,1,0.386,0.901,45.95,52.08195,57.8902,0.40183,0.4333935,0.471848,1.00760115970905,1.00440704583598,15000,5000,20,500
"150",1000,500,50,0.4,1,0.376,0.885,43.9229,48.96305,54.823,0.382094,0.415875,0.448954,0.999767924146884,1.00387113682731,15000,5000,20,500
"151",100,1000,50,0.4,1,0.37,0.96,35.5658,51.9333,70.5466,0.306521,0.3968395,0.507459,1.00005689494744,1.00101229190711,15000,5000,20,500
"152",100,1000,50,0.4,1,0.41,0.93,28.0031,40.0356,55.2012,0.333172,0.430318,0.528597,1.00071408567976,0.999797288504964,15000,5000,20,500
"153",100,1000,50,0.4,1,0.37,0.95,35.1264,49.72655,68.2186,0.290612,0.3874345,0.47986,1.00150754595513,1.00028435061648,15000,5000,20,500
"154",100,1000,50,0.4,1,0.46,0.96,34.0383,45.96485,61.9573,0.38483,0.483804,0.58292,0.999331739738462,1.00186756505848,15000,5000,20,500
"155",100,1000,50,0.4,1,0.45,0.96,43.5527,60.5684,83.004,0.379713,0.4844515,0.579679,1.00081348497645,1.00034898693426,15000,5000,20,500
"156",100,1000,50,0.4,1,0.32,0.96,42.9717,62.49615,89.884,0.243058,0.34142,0.436342,1.00070652554533,1.0004722249937,15000,5000,20,500
"157",100,1000,50,0.4,1,0.4,0.93,46.967,68.9838,91.0792,0.330457,0.4270285,0.529461,1.00165618774846,0.999230383246939,15000,5000,20,500
"158",100,1000,50,0.4,1,0.43,0.95,36.6261,51.28975,69.4378,0.360385,0.4538005,0.557489,1.00419286138652,1.00009786837612,15000,5000,20,500
"159",100,1000,50,0.4,1,0.37,0.91,40.469,57.55135,80.6786,0.299968,0.388835,0.492116,1.00311772826151,0.999408937025904,15000,5000,20,500
"160",100,1000,50,0.4,1,0.44,0.97,42.4593,60.3039,80.5569,0.361702,0.4627145,0.558505,0.999852692511971,0.999723921909524,15000,5000,20,500
"161",100,1000,50,0.4,1,0.44,0.93,34.5483,51.4929,68.8405,0.376607,0.470799,0.576258,1.00055557970134,1.00052463165747,15000,5000,20,500
"162",100,1000,50,0.4,1,0.41,0.93,35.2415,50.4006,69.4758,0.334992,0.4346195,0.537159,1.00120212606717,1.00076995394543,15000,5000,20,500
"163",100,1000,50,0.4,1,0.38,0.93,32.7902,46.0816,64.5446,0.304001,0.4035645,0.500346,0.999983306631561,0.999766661682457,15000,5000,20,500
"164",100,1000,50,0.4,1,0.42,0.96,32.6339,47.8481,62.604,0.342641,0.4412135,0.543702,1.00076837099499,1.00277749483074,15000,5000,20,500
"165",100,1000,50,0.4,1,0.31,0.96,37.8141,55.36835,83.635,0.237465,0.3247785,0.422278,1.00637951766791,1.00189973295553,15000,5000,20,500
