"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"221",1000,500,0.4,128.144655767828,0.31,0.772,81.337,90.7568,101.136,1.00353118203422,15000,5000,20,500
"222",1000,500,0.4,45.6435500155203,0.364,0.901,37.75,41.9808,46.2417,1.00160298801322,15000,5000,20,500
"223",1000,500,0.4,257.674014109652,0.197,0.557,102.827,117.605,134.946,1.00156718747334,15000,5000,20,500
"224",1000,500,0.4,70.9396778279915,0.346,0.839,56.2246,62.09505,69.4762,0.999628358960504,15000,5000,20,500
"225",1000,500,0.4,109.059254678432,0.303,0.787,72.2084,80.97855,90.1683,1.00203736707062,15000,5000,20,500
"226",1000,500,0.4,210.459960177541,0.249,0.597,99.9813,113.0695,126.63,1.00124610544931,15000,5000,20,500
"227",1000,500,0.4,18.2937154220417,0.385,0.964,17.4873,19.2174,21.2474,1.00103729406168,15000,5000,20,500
"228",1000,500,0.4,208.853390009608,0.256,0.621,110.92,126.816,142.174,1.00201430222036,15000,5000,20,500
"229",1000,500,0.4,283.474832528736,0.195,0.528,108.413,125.3815,143.473,1.00108986935867,15000,5000,20,500
"230",1000,500,0.4,232.537810935173,0.247,0.595,96.6883,108.9315,122.444,0.999728349918,15000,5000,20,500
"231",1000,500,0.4,126.353849661537,0.308,0.751,80.0406,89.64625,99.9558,1.00274820953894,15000,5000,20,500
"232",1000,500,0.4,153.225769191049,0.283,0.707,88.6493,99.73865,112.163,1.00070288138873,15000,5000,20,500
