"","N","LEN","DELTA","PHI","SIGMA.PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","R_hat_delta","MCMCiter","Burn_in","N_thin","N_sample"
"172",100,1000,50,0.4,1,0.42,0.99,28.9577,41.0106,55.8983,1.00119693731899,15000,5000,20,500
"173",100,1000,50,0.4,1,0.45,0.96,43.5963,59.2695,80.502,1.0006874382898,15000,5000,20,500
"174",100,1000,50,0.4,1,0.42,0.93,30.2756,41.9178,57.8456,1.00404153887416,15000,5000,20,500
"175",100,1000,50,0.4,1,0.45,0.99,34.0116,45.90285,62.9553,1.00181415474499,15000,5000,20,500
"176",100,1000,50,0.4,1,0.48,0.96,34.5115,46.2735,62.5004,1.00095742867775,15000,5000,20,500
"177",100,1000,50,0.4,1,0.37,0.96,35.8733,53.1439,75.497,1.00168751389846,15000,5000,20,500
"178",100,1000,50,0.4,1,0.34,0.97,31.3567,44.47455,61.807,1.00225720918536,15000,5000,20,500
"179",100,1000,50,0.4,1,0.39,0.95,31.9989,44.02385,61.0451,1.00280664970015,15000,5000,20,500
"180",100,1000,50,0.4,1,0.47,0.95,35.923,48.8666,65.475,1.00355231584354,15000,5000,20,500
"181",100,1000,50,0.4,1,0.41,0.95,31.4024,42.8948,58.5345,1.00034755916925,15000,5000,20,500
"182",100,1000,50,0.4,1,0.42,0.91,36.2332,50.238,67.3875,1.00057156220847,15000,5000,20,500
"183",100,1000,50,0.4,1,0.44,0.97,25.1329,33.88205,45.1831,1.00196162500262,15000,5000,20,500
"184",100,1000,50,0.4,1,0.38,0.96,25.3468,36.2273,50.1461,1.00123493174421,15000,5000,20,500
"185",100,1000,50,0.4,1,0.41,0.96,50.9453,69.7923,98.8733,1.00256623963537,15000,5000,20,500
"186",100,1000,50,0.4,1,0.5,0.97,35.5344,47.1953,62.4597,1.00092000974972,15000,5000,20,500
"187",100,1000,50,0.4,1,0.38,0.97,39.2268,56.0481,77.4364,1.00049460565593,15000,5000,20,500
"188",100,1000,50,0.4,1,0.36,0.96,34.5213,48.91875,70.734,1.00333553541897,15000,5000,20,500
"189",100,1000,50,0.4,1,0.38,0.98,41.7462,60.90985,86.2299,1.00006667080444,15000,5000,20,500
"190",100,1000,50,0.4,1,0.34,0.93,44.0764,65.00085,91.1679,1.0004786098362,15000,5000,20,500
"191",100,1000,50,0.4,1,0.39,0.93,45.61,67.177,92.1085,1.00506250865127,15000,5000,20,500
"192",100,1000,50,0.4,1,0.45,0.96,25.6751,34.44535,47.059,1.00016347562181,15000,5000,20,500
"193",100,1000,50,0.4,1,0.46,0.93,23.7527,32.12035,42.555,1.00222368352836,15000,5000,20,500
"194",100,1000,50,0.4,1,0.39,0.94,36.1594,53.60155,73.3322,1.00323371453998,15000,5000,20,500
"195",100,1000,50,0.4,1,0.44,0.96,31.2946,43.75125,57.5962,1.00338030985637,15000,5000,20,500
"196",100,1000,50,0.4,1,0.42,0.99,23.7812,33.08675,44.256,1.00003841897344,15000,5000,20,500
"197",100,1000,50,0.4,1,0.49,0.98,34.8828,45.8254,62.5225,1.00049979009958,15000,5000,20,500
"198",100,1000,50,0.4,1,0.36,0.94,37.6246,53.4319,74.5958,0.999592652729898,15000,5000,20,500
"199",100,1000,50,0.4,1,0.35,0.95,38.5754,56.7939,80.0766,1.00088953831549,15000,5000,20,500
"200",100,1000,50,0.4,1,0.41,0.95,31.1086,44.9737,60.4365,1.00191041307259,15000,5000,20,500
"201",500,1000,50,0.4,1,0.402,0.962,36.886,42.9496,49.3789,1.00180773609323,15000,5000,20,500
"202",500,1000,50,0.4,1,0.394,0.96,37.7369,44.0831,50.3966,1.00120163082935,15000,5000,20,500
"203",500,1000,50,0.4,1,0.4,0.942,41.735,49.0386,55.6412,1.00058503462437,15000,5000,20,500
"204",500,1000,50,0.4,1,0.388,0.924,43.7244,51.28915,59.522,1.00027475183092,15000,5000,20,500
"205",500,1000,50,0.4,1,0.392,0.948,37.7248,44.69595,51.2547,1.00280440950573,15000,5000,20,500
"206",500,1000,50,0.4,1,0.384,0.944,47.4232,54.7452,63.38,1.00275519480342,15000,5000,20,500
"207",500,1000,50,0.4,1,0.432,0.97,47.0349,54.7069,62.6277,0.999968668980321,15000,5000,20,500
"208",500,1000,50,0.4,1,0.396,0.934,45.7381,53.88955,62.0372,1.00416754249179,15000,5000,20,500
"209",500,1000,50,0.4,1,0.36,0.956,50.1757,59.0168,68.8451,1.00052919174135,15000,5000,20,500
"210",500,1000,50,0.4,1,0.372,0.954,39.2305,45.3478,53.0293,1.00096228528574,15000,5000,20,500
"211",500,1000,50,0.4,1,0.38,0.962,42.8676,49.7428,58.0577,1.00060622435938,15000,5000,20,500
"212",500,1000,50,0.4,1,0.402,0.958,40.8354,47.30065,54.8913,1.00196664003186,15000,5000,20,500
"213",500,1000,50,0.4,1,0.372,0.94,44.1668,51.40395,60.054,1.00137959766134,15000,5000,20,500
"214",500,1000,50,0.4,1,0.408,0.952,42.9897,49.847,57.1362,1.00211405643008,15000,5000,20,500
"215",500,1000,50,0.4,1,0.388,0.936,42.051,48.39825,55.665,1.00018255601489,15000,5000,20,500
"216",500,1000,50,0.4,1,0.388,0.952,42.0053,48.6797,56.5112,1.00169269732424,15000,5000,20,500
"217",500,1000,50,0.4,1,0.418,0.952,40.4332,46.42055,53.1675,1.00153535071766,15000,5000,20,500
"218",500,1000,50,0.4,1,0.398,0.96,43.7158,51.6901,59.4575,1.00675901451273,15000,5000,20,500
"219",500,1000,50,0.4,1,0.378,0.944,42.4047,50.2618,58.0307,1.00286446225321,15000,5000,20,500
"220",500,1000,50,0.4,1,0.384,0.948,38.8755,44.91355,52.3042,0.999861704523007,15000,5000,20,500
"221",500,1000,50,0.4,1,0.416,0.958,40.7974,46.6474,53.9709,0.999854387040259,15000,5000,20,500
"222",500,1000,50,0.4,1,0.424,0.952,45.3953,52.87145,59.9741,0.999789276836354,15000,5000,20,500
"223",500,1000,50,0.4,1,0.386,0.948,47.2127,55.4144,63.8263,1.00020025539936,15000,5000,20,500
"224",500,1000,50,0.4,1,0.394,0.954,42.7406,49.4109,57.1836,1.00014019432162,15000,5000,20,500
"225",500,1000,50,0.4,1,0.392,0.942,41.5661,47.7676,55.6515,1.00148449224263,15000,5000,20,500
"226",500,1000,50,0.4,1,0.39,0.952,39.8785,46.4488,53.8756,1.00375762333595,15000,5000,20,500
"227",500,1000,50,0.4,1,0.408,0.944,46.2892,53.5137,61.8712,1.00099000254479,15000,5000,20,500
"228",500,1000,50,0.4,1,0.416,0.954,40.0411,45.9537,53.2743,0.999709958068263,15000,5000,20,500
"229",500,1000,50,0.4,1,0.42,0.96,42.2753,48.5226,56.1966,0.999538449460954,15000,5000,20,500
"230",500,1000,50,0.4,1,0.374,0.952,41.8517,48.9314,56.4611,1.00044902095431,15000,5000,20,500
"231",500,1000,50,0.4,1,0.402,0.964,43.9726,50.6515,58.3536,1.0007713897151,15000,5000,20,500
"232",500,1000,50,0.4,1,0.398,0.954,41.2847,48.4854,55.0927,1.00230984233782,15000,5000,20,500
"233",500,1000,50,0.4,1,0.412,0.96,45.4552,52.5094,60.4687,1.00026131103784,15000,5000,20,500
"234",500,1000,50,0.4,1,0.384,0.954,44.2135,50.68995,59.4324,1.00208011222134,15000,5000,20,500
"235",500,1000,50,0.4,1,0.378,0.942,43.5312,50.377,58.5702,1.00127980069011,15000,5000,20,500
"236",500,1000,50,0.4,1,0.372,0.946,43.1917,50.1755,58.1868,0.999517999088516,15000,5000,20,500
"237",500,1000,50,0.4,1,0.364,0.938,42.2903,49.2876,57.4551,1.00496076510598,15000,5000,20,500
"238",500,1000,50,0.4,1,0.4,0.962,44.437,51.6974,59.5307,0.99967431405478,15000,5000,20,500
"239",500,1000,50,0.4,1,0.416,0.948,45.7156,52.46625,60.2743,0.999652215293357,15000,5000,20,500
