"","N","LEN","DELTA","PHI","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"155",100,1000,50,0.4,0.38,0.99,29.9356,42.90905,59.2183,0.310186,0.396685,0.492742,1.00089878313849,1.00169041547144,15000,5000,20,500
"156",100,1000,50,0.4,0.42,0.99,37.2637,52.27415,70.5766,0.333292,0.4413695,0.538663,1.00176752649415,1.00122569259409,15000,5000,20,500
"157",100,1000,50,0.4,0.33,0.96,31.3543,45.9665,64.8793,0.254035,0.3446585,0.445423,1.00196667839859,1.00293872503358,15000,5000,20,500
"158",100,1000,50,0.4,0.41,0.97,33.8145,51.19395,67.6889,0.327106,0.4290445,0.519343,1.00135832306032,1.00067551237844,15000,5000,20,500
"159",100,1000,50,0.4,0.4,0.93,26.5879,37.5469,51.1636,0.319375,0.4196245,0.512485,1.00178618680361,1.00014110182472,15000,5000,20,500
"160",100,1000,50,0.4,0.39,0.98,29.4244,42.0106,57.1209,0.312448,0.4038435,0.514977,1.0010535829326,1.00060266574335,15000,5000,20,500
"161",100,1000,50,0.4,0.41,0.99,36.2496,52.38125,71.5154,0.324326,0.422385,0.517116,1.00110151177886,1.00195711395529,15000,5000,20,500
"162",100,1000,50,0.4,0.37,0.92,35.2907,49.11325,70.4418,0.303039,0.388156,0.486678,0.999591751709437,1.00198980141926,15000,5000,20,500
"163",100,1000,50,0.4,0.44,0.97,33.0669,45.1586,61.2642,0.370806,0.4623095,0.561316,1.00266358216015,0.999510539828337,15000,5000,20,500
"164",100,1000,50,0.4,0.36,0.93,33.7744,48.8733,67.7022,0.292643,0.380671,0.48584,1.0003553494889,1.00282847488041,15000,5000,20,500
"165",100,1000,50,0.4,0.3,0.96,51.4513,81.0244,116.42,0.23849,0.332228,0.426356,1.00177328619534,1.00163892167295,15000,5000,20,500
"166",100,1000,50,0.4,0.33,0.94,28.7124,44.275,61.945,0.261437,0.3518505,0.446562,1.00142452865855,0.999739733201963,15000,5000,20,500
"167",100,1000,50,0.4,0.43,0.96,25.808,36.22325,48.861,0.352522,0.4463425,0.544742,1.00346006409851,0.999890585562572,15000,5000,20,500
"168",100,1000,50,0.4,0.46,0.94,45.7575,63.7531,87.5742,0.395186,0.496671,0.601073,1.00623068500236,0.999919624431788,15000,5000,20,500
"169",100,1000,50,0.4,0.51,0.96,31.0698,43.6298,56.5427,0.443858,0.542469,0.651882,1.00299289707446,1.00221738493112,15000,5000,20,500
"170",100,1000,50,0.4,0.4,0.92,38.4202,53.77465,74.1513,0.33084,0.438058,0.532071,0.999330892935744,1.00090767228575,15000,5000,20,500
"171",100,1000,50,0.4,0.44,0.94,38.3949,54.37155,73.7534,0.363887,0.4719615,0.56082,0.999778032168942,1.00044104794593,15000,5000,20,500
"172",100,1000,50,0.4,0.38,0.95,30.4916,44.79415,60.8343,0.313778,0.4078205,0.505729,1.00200489340788,1.00258569464435,15000,5000,20,500
