"","N","LEN","PHI","delta","Pcap","Pstay","delta_lower","delta_med","delta_upper","phi_lower","phi_med","phi_upper","R_hat_delta","R_hat_phi","MCMCiter","Burn_in","N_thin","N_sample"
"145",500,500,0.4,97.3530921852216,0.33,0.816,83.3551,103.4825,127.217,0.35959,0.415405,0.471335,1.00706980080657,1.00217163690574,15000,5000,20,500
"146",500,500,0.4,94.0781264170073,0.33,0.784,89.633,116.428,151.398,0.36578,0.430234,0.497651,1.00847148384089,1.00535223765328,15000,5000,20,500
"147",500,500,0.4,96.6327161667868,0.346,0.79,85.5989,103.6125,129.334,0.384294,0.439693,0.499044,1.01003597755045,1.0031058890638,15000,5000,20,500
"148",500,500,0.4,246.620118168648,0.228,0.55,121.899,169.0585,262.178,0.274846,0.341193,0.431145,1.08385375773896,1.04771145413141,15000,5000,20,500
"149",500,500,0.4,64.7813006560318,0.33,0.866,55.803,67.21765,79.6837,0.337719,0.3843845,0.432922,1.00871833568305,1.00082014246227,15000,5000,20,500
"150",500,500,0.4,69.6326376055367,0.37,0.882,63.4559,76.77645,90.3073,0.390705,0.437585,0.490952,1.00517007879648,1.00177009348657,15000,5000,20,500
"151",500,500,0.4,129.267205228098,0.356,0.776,104.917,133.379,168.924,0.418179,0.482454,0.557097,1.00671264354552,1.00336417123452,15000,5000,20,500
"152",500,500,0.4,64.1615984146483,0.362,0.892,46.3056,54.71975,64.9877,0.358713,0.403532,0.450105,1.00310466107243,0.999941754251095,15000,5000,20,500
"153",500,500,0.4,115.646083476022,0.316,0.742,100.381,132.278,169.173,0.363906,0.426113,0.492706,1.08133123086126,1.01411794835113,15000,5000,20,500
"154",500,500,0.4,298.758377253544,0.198,0.502,165.088,266.35,422.862,0.268457,0.3640095,0.50856,1.0678896835696,1.05797920241422,25000,5000,20,1000
"155",500,500,0.4,116.624293874484,0.312,0.794,98.7109,128.0815,169.33,0.356709,0.4203585,0.494184,1.0203673356509,1.00891832685032,15000,5000,20,500
"156",500,500,0.4,154.825612658169,0.28,0.706,111.746,155.878,224.461,0.338989,0.4030885,0.491494,1.06138635787109,1.03231126903594,15000,5000,20,500
"157",500,500,0.4,229.364523182157,0.206,0.536,120.357,165.49,239.443,0.242986,0.30351,0.374866,1.03583737827623,1.01638542590527,15000,5000,20,500
"158",500,500,0.4,171.550438108388,0.256,0.674,169.309,265.9275,396.512,0.348028,0.4696795,0.614056,1.07347656593528,1.0521712255618,15000,5000,20,500
"159",500,500,0.4,146.922497395426,0.274,0.716,112.546,152.2885,204.995,0.315842,0.388346,0.458481,1.00169698417699,1.00012577095112,15000,5000,20,500
"160",500,500,0.4,278.724282993935,0.208,0.548,185.59,320.524,547.708,0.290176,0.4251995,0.618765,1.06791717030681,1.07572402973567,65000,5000,20,3000
"161",500,500,0.4,283.369987108745,0.196,0.546,142.199,209.991,315.152,0.248935,0.3198515,0.409496,1.02378734827353,1.01560319561932,15000,5000,20,500
"162",500,500,0.4,57.4912973935716,0.314,0.896,43.6746,51.5324,61.7405,0.306823,0.351903,0.396007,1.00085984143925,0.999755003632798,15000,5000,20,500
"163",500,500,0.4,189.347022322472,0.26,0.648,144.561,205.0245,292.356,0.329609,0.4180235,0.522422,1.05564788318102,1.02649991542096,15000,5000,20,500
"164",500,500,0.4,135.027484518941,0.3,0.724,106.691,143.2705,181.386,0.351598,0.4143445,0.48673,1.06026967121782,1.021408720358,15000,5000,20,500
